popul,año,id_track,artist,song,duration,
69,2014,6jG2YzhxptolDzLHTGLt7S,Beyoncé,Drunk in Love (feat. Jay-Z),323.48,
69,2013,5vTPxzm4h2bY9rYyVrGEU5,Cher Lloyd,Really Don't Care,201.6,
69,2012,0mGvaKpwLYoybnIoboC3uS,Cali Y El Dandee,Yo Te Esperaré,232.253,
69,2010,4u5xLMRN0dgKBFFN8FiNgv,Chino & Nacho,Niña Bonita,216.786,
69,2010,23SZWX2IaDnxmhFsSLvkG2,Kanye West,Gorgeous,357.653,
69,2010,0U0ldCRmgCqhVvD6ksG63j,Kavinsky,Nightcall,258.413,
69,2009,7Fq9RwQxSn3kW85PrDUf0M,Brooks & Dunn,Boot Scootin' Boogie,198.226,
69,2009,0iTpQYzJnYgh7kIxyq8A2O,Grizzly Bear,Two Weeks,243.16,
69,2008,6jBUP2KCe821yqf1hiBqPR,James Morrison,Broken Strings,250.453,
69,2008,2cbic3TiUENlJX91y67ARR,Bon Iver,Skinny Love,238.52,
69,2007,11dxtPJKR4E0wlSr0A0t47,Aly & AJ,Potential Breakup Song,219.773,
69,2006,3oqWr0jDWNXxWufNogGREp,Gustavo Cerati,Crimen,232.026,
69,2005,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Suddenly I See,201.706,
69,2002,0r2Bul2NuCViraT2zX1l5j,Ying Yang Twins,Get Low,334.066,
69,2002,0r2Bul2NuCViraT2zX1l5j,Lil Jon & The East Side Boyz,Get Low,334.066,
69,2002,0Cvjlph1WGbwZY1PlMEtJY,Norah Jones,Come Away With Me,198.146,
69,1995,6iy4PoAuZBMvtrlDX4VxC7,George Strait,Check Yes Or No,200.666,
69,1990,05NYcsjJwOYq4jIiKPVj9p,The Black Crowes,Hard To Handle,188.066,
69,1989,7DFawVSjI88xR9mjnWwURg,Simply Red,If You Don't Know Me by Now - 2008 Remaster,204,
69,1988,67iAlVNDDdddxqSD2EZhFs,The Proclaimers,I'm Gonna Be (500 Miles),219.466,
69,1978,54OR1VDpfkBuOY5zZjhZAY,Village People,YMCA - Original Version 1978,286.8,
69,1978,3XIEWK1V9n25PS9Vb6axj5,Patrick Hernandez,Born to Be Alive,188.133,
69,1975,608xszaAxVh4m7NcKJiAbF,Eagles,One of These Nights - 2013 Remaster,291.685,
68,2018,1XgpK29CGGjZnxPYkiRbh4,CNCO,Hey DJ,206.92,
68,2018,1vNoA9F5ASnlBISFekDmg3,Bad Wolves,Zombie,254.805,
68,2017,1BfR5GMOgW0peHkPxrwf11,Greta Van Fleet,Safari Song,234.6,
68,2015,0qt5f5EL92o8Snzopsv0en,Sheppard,Geronimo,218.227,
68,2014,4zLBcDtvYNVtF9fnG6lme3,Jasmine Thompson,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,179.96,
68,2010,71R6zJsrF3ffc3TBFHfivX,Mohombi,Bumpy Ride,224.72,
68,2009,09qzRI951OVkXGCc33gzcT,Brooks & Dunn,My Maria,208.106,
68,2002,1Qdnvn4XlmZANCVy3XjrQo,Audioslave,Show Me How to Live,277.84,
68,2002,1h2xVEoJORqrg71HocgqXd,Stevie Wonder,Superstition - Single Version,245.493,
68,2002,1gyee1JuFFiP476LQpRMYU,Chevelle,The Red,238.4,
68,2001,69j0KoPJuwpnbGWrfn7Yll,Kid Rock,Picture (feat. Sheryl Crow),298.96,
68,2001,3T07pNAEVr9adeIG9i1ex4,Diego Torres,Color Esperanza,267.106,
68,1999,3rXCZRMiMZp0feGcYXpwYX,The Chicks,Cowboy Take Me Away,287.266,
68,1991,0rFWuqFgHAfuzE8uSB9TWR,Guns N' Roses,Live And Let Die,182.733,
68,1989,6pPWRBubXOBAHnjl5ZIujB,Tina Turner,The Best,329.8,
68,1978,5gOd6zDC8vhlYjqbQdJVWP,Gerry Rafferty,Baker Street,365.626,
68,1978,2wvMC5EyaaYQwBfiwwY2xE,Joe Walsh,Life's Been Good,536.226,
68,1976,5uuJruktM9fMdN9Va0DUMl,Wild Cherry,Play That Funky Music,300,
68,1976,1lqMLr9Wj7SM2F9AikGcxN,Bob Dylan,Hurricane,512.733,
68,1973,0x2wtJbtJrox3SDmnMj97x,Lynyrd Skynyrd,Gimme Three Steps,267.173,
68,1962,4fQMGlCawbTkH9yPPZ49kP,Booker T. & the M.G.'s,Green Onions,176.333,
67,2018,5qFeMRz4TvetPmzjre9Dq7,J Balvin,No Es Justo,250.84,
67,2018,4Pbg79cTBu4vgSphoyNq3j,Anne-Marie,2002,186.986,
67,2015,6HTJZ0TQJVMSKkUGzAOe2h,Ja Rule,Old Thing Back (feat. Ja Rule and Ralph Tresvant),321.649,
67,2015,383QXk8nb2YrARMUwDdjQS,Muse,Psycho,316.717,
67,2014,2Iq6HhIquO7JKr0KfTNLzU,Saint Motel,My Type,204.811,
67,2012,0c4IEciLCDdXEhhKxj4ThA,Muse,Madness,281.04,
67,2005,1gZ7i4qxXkHZb1r6eioaAP,Busta Rhymes,Don't Cha,272.08,
67,2002,0YImOCkIJ2PWhCXaURCZnY,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324.306,
67,2000,51c94ac31swyDQj9B3Lzs3,Deftones,Change (In the House of Flies),299.533,
67,1998,5omgFpiMt1CGHjQGfkwzvz,Jarabe De Palo,Agua,254.266,
67,1996,6hFHsQWB7HdVrSe7efRR82,Café Tacvba,Como te extraño mi amor,214.88,
67,1996,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,Ain't Nobody,280.853,
67,1995,3IvcWWehbBcBR4YZxlGM9R,Tim McGraw,"I Like It, I Love It",205.706,
67,1995,0NLBwQBYJhEM9t3KAMPFVR,John Michael Montgomery,Sold (The Grundy County Auction Incident),152.186,
67,1994,3Q9t1A12iUemHTAWnH7PjD,Tracy Byrd,Watermelon Crawl,181.973,
67,1986,5RYLa5P4qweEAKq5U1gdcK,Queen,A Kind Of Magic - Remastered 2011,264.253,
67,1970,683b4ikwa62JevCjwrmfg6,Van Morrison,Moondance - 2013 Remaster,274.04,
67,1964,1aj4GXfmEYXfdVZohCpNKu,Otis Redding,Stand by Me,172.333,
66,2020,5OxclJsdFESni44YlpNpkR,Bring Me The Horizon,Parasite Eve,291.812,
66,2018,6U2NuJILEOEpW2tVCuqKHb,Becky G,Dura - Remix,242.16,
66,2014,1RIhd7jjWDQwSKsbxxGArN,Calle 13,Ojos Color Sol (feat. Silvio Rodríguez),215.813,
66,2011,3ouugfdFz6exFXUxu7wRvD,Sleeping With Sirens,If You Can't Hang,250.24,
66,2010,25nzKGDiua1lE9Qo5V19GL,The Naked And Famous,Young Blood,246.6,
66,2009,1FHNctV68GUNLgXclG2DtR,Toploader,Dancing in the Moonlight,233.373,
66,2008,2JO3HwMRPeya8bXbtbyPcf,Joy Division,Love Will Tear Us Apart,206.866,
66,2006,6zKF4293k44ItKWJJgrhXv,Killswitch Engage,My Curse,244.773,
66,2003,2cMTIlktg3M9mXYqCPqw1J,Kelis,Milkshake,182.626,
66,2001,6crBy2sODw2HS53xquM6us,Tenacious D,Tribute,248.053,
66,2001,3JOVTQ5h8HGFnDdp4VT3MP,Gary Jules,Mad World (Feat. Michael Andrews),189.506,
66,2001,0C9jZPUv4SuaXkuEQw6L40,Smash Mouth,I'm a Believer,185.306,
66,1999,1Y13csEpu3TK5gQdzGLrd8,Incubus,Pardon Me,223.746,
66,1999,1TanmIWbaUj5NVwJ3k4XPd,George Strait,Write This Down,219.6,
66,1998,77j9HOrxUpWcjwra9jgvio,Vengaboys,We like to Party! (The Vengabus) Six Flags,222.458,
66,1998,6cjwec9ii5uLK7CDfPBYt1,The Chicks,Wide Open Spaces,223.832,
66,1998,2V4Bc2I962j7acQj1N0PiQ,Hole,Celebrity Skin,162.666,
66,1986,0ire4j2mcGovF5JA1D2cTp,Sarah Jane Morris,Don't Leave Me This Way (with Sarah Jane Morris),271.066,
66,1980,0ew27xRdxSexrWbODuLfeE,Diana Ross,I'm Coming Out,325.266,
66,1978,5YSI1311X8t31PBjkBG4CZ,Kate Bush,Wuthering Heights,269.066,
66,1975,2f0P7iELCvAlV8j6Z3rGDE,Ted Nugent,Stranglehold,503.066,
66,1971,7shVwhUdVbHpykOfbzvDc1,Joni Mitchell,A Case of You,263.48,
66,1966,6PgVDY8GTkxF3GmhVGPzoB,Sam & Dave,"Hold On, I'm Comin'",155.706,
65,2018,3ao3OVxHlb3C08vAaApUlm,Luis Fonsi,Imposible,163.88,
